0.093,2,10,C2,CT
0.093,3,8,C3,C8
0.093,3,14,C3,DA
0.093,7,34,C7,H8
0.093,7,47,C7,S8
0.093,12,20,CQ,D7
0.093,15,18,D2,D5
0.093,32,48,H6,S9
0.093,33,49,H7,ST
0.093,34,52,H8,SK
0.093,35,47,H9,S8
0.093,42,46,S3,S7
0.094,17,51,D4,SQ
0.094,21,48,D8,S9
0.094,22,51,D9,SQ
0.094,26,34,DK,H8
0.094,1,17,CA,D4
0.094,4,8,C4,C8
0.094,6,39,C6,HK
0.094,8,45,C8,S6
0.094,10,46,CT,S7
0.094,12,45,CQ,S6
0.094,13,32,CK,H6
0.094,13,45,CK,S6
0.094,28,36,H2,HT
0.094,28,40,H2,SA
0.094,31,34,H5,H8
0.094,42,44,S3,S5
0.095,16,20,D3,D7
0.095,18,40,D5,SA
0.095,21,35,D8,H9
0.095,21,50,D8,SJ
0.095,25,33,DQ,H7
0.095,1,41,CA,S2
0.095,4,11,C4,CJ
0.095,8,32,C8,H6
0.095,11,21,CJ,D8
0.095,15,23,D2,DT
0.095,27,44,HA,S5
0.095,29,30,H3,H4
0.095,31,35,H5,H9
0.096,19,38,D6,HQ
0.096,3,7,C3,C7
0.096,5,8,C5,C8
0.096,5,32,C5,H6
0.096,7,48,C7,S9
0.096,8,20,C8,D7
0.096,8,33,C8,H7
0.096,9,20,C9,D7
0.096,15,20,D2,D7
0.096,27,42,HA,S3
0.096,43,49,S4,ST
0.097,20,32,D7,H6
0.097,24,34,DJ,H8
0.097,1,30,CA,H4
0.097,8,24,C8,DJ
0.097,11,20,CJ,D7
0.097,12,46,CQ,S7
0.097,13,20,CK,D7
0.097,13,30,CK,H4
0.097,13,44,CK,S5
0.097,15,27,D2,HA
0.097,16,17,D3,D4
0.097,34,46,H8,S7
0.097,37,47,HJ,S8
0.098,17,21,D4,D8
0.098,17,23,D4,DT
0.098,20,38,D7,HQ
0.098,20,48,D7,S9
0.098,20,50,D7,SJ
0.098,20,52,D7,SK
0.098,21,36,D8,HT
0.098,3,11,C3,CJ
0.098,4,40,C4,SA
0.098,9,23,C9,DT
0.098,9,33,C9,H7
0.098,14,42,DA,S3
0.098,28,38,H2,HQ
0.098,29,35,H3,H9
0.098,34,44,H8,S5
0.098,39,46,HK,S7
0.098,44,49,S5,ST
0.099,45,50,S6,SJ
0.099,19,24,D6,DJ
0.099,20,39,D7,HK
0.099,23,33,DT,H7
0.099,23,47,DT,S8
0.099,1,43,CA,S4
0.099,6,52,C6,SK
0.099,8,46,C8,S7
0.099,14,43,DA,S4
0.099,42,43,S3,S4
0.1,19,33,D6,H7
0.1,19,40,D6,SA
0.1,20,34,D7,H8
0.1,25,47,DQ,S8
0.1,4,27,C4,HA
0.1,5,9,C5,C9
0.1,5,40,C5,SA
0.1,12,21,CQ,D8
0.1,15,25,D2,DQ
0.1,27,43,HA,S4
0.1,29,32,H3,H6
0.1,29,36,H3,HT
0.1,29,38,H3,HQ
0.1,30,31,H4,H5
0.1,30,38,H4,HQ
0.1,31,36,H5,HT
0.1,34,51,H8,SQ
0.1,35,50,H9,SJ
0.101,17,20,D4,D7
0.101,21,52,D8,SK
0.101,1,29,CA,H3
0.101,6,20,C6,D7
0.101,7,21,C7,D8
0.101,7,24,C7,DJ
0.101,7,39,C7,HK
0.101,7,49,C7,ST
0.101,10,20,CT,D7
0.101,14,45,DA,S6
0.101,15,19,D2,D6
0.101,39,44,HK,S5
0.101,39,45,HK,S6
0.102,17,18,D4,D5
0.102,17,27,D4,HA
0.102,19,39,D6,HK
0.102,19,52,D6,SK
0.102,25,34,DQ,H8
0.102,1,32,CA,H6
0.102,5,11,C5,CJ
0.102,10,21,CT,D8
0.102,12,47,CQ,S8
0.102,29,42,H3,S3
0.102,31,46,H5,S7
0.103,17,24,D4,DJ
0.103,18,20,D5,D7
0.103,3,5,C3,C5
0.103,8,23,C8,DT
0.103,8,26,C8,DK
0.103,12,34,CQ,H8
0.103,13,21,CK,D8
0.103,27,45,HA,S6
0.103,28,37,H2,HJ
0.103,29,31,H3,H5
0.103,29,40,H3,SA
0.103,32,36,H6,HT
0.103,34,48,H8,S9
0.103,36,46,HT,S7
0.103,42,51,S3,SQ
0.103,43,47,S4,S8
0.104,3,27,C3,HA
0.104,5,12,C5,CQ
0.104,13,33,CK,H7
0.104,15,40,D2,SA
0.104,30,36,H4,HT
0.104,42,50,S3,SJ
0.104,43,46,S4,S7
0.105,45,49,S6,ST
0.105,17,40,D4,SA
0.105,18,24,D5,DJ
0.105,22,34,D9,H8
0.105,4,14,C4,DA
0.105,8,51,C8,SQ
0.105,30,35,H4,H9
0.105,38,47,HQ,S8
0.105,39,47,HK,S8
0.106,17,22,D4,D9
0.106,19,23,D6,DT
0.106,20,40,D7,SA
0.106,20,47,D7,S8
0.106,5,7,C5,C7
0.106,8,36,C8,HT
0.106,8,39,C8,HK
0.106,8,49,C8,ST
0.106,8,52,C8,SK
0.106,14,31,DA,H5
0.106,43,51,S4,SQ
0.106,16,19,D3,D6
0.107,21,37,D8,HJ
0.107,1,47,CA,S8
0.107,6,14,C6,DA
0.107,8,25,C8,DQ
0.107,9,21,C9,D8
0.107,14,30,DA,H4
0.107,14,44,DA,S5
0.107,15,26,D2,DK
0.107,34,49,H8,ST
0.108,1,44,CA,S5
0.108,2,11,C2,CJ
0.108,5,10,C5,CT
0.108,5,14,C5,DA
0.108,12,35,CQ,H9
0.108,14,33,DA,H7
0.108,26,46,DK,S7
0.108,32,40,H6,SA
0.109,45,48,S6,S9
0.109,21,38,D8,HQ
0.109,21,49,D8,ST
0.109,26,32,DK,H6
0.109,13,22,CK,D9
0.109,34,50,H8,SJ
0.11,16,24,D3,DJ
0.11,17,43,D4,S4
0.11,19,31,D6,H5
0.11,1,31,CA,H5
0.11,4,30,C4,H4
0.11,6,9,C6,C9
0.11,6,10,C6,CT
0.11,7,35,C7,H9
0.11,8,22,C8,D9
0.11,13,47,CK,S8
0.11,36,48,HT,S9
